Sr. no.,Message_ID,Customer_Name,Phone_Number,Date,Complaint_Text,Category
1,68113400,Hunter Townsend,474.112.4903x521,30-04-2025,I was charged more than what was mentioned.,Overcharged
2,837217,Edwin Wilkins,(067)883-1712,30-04-2025,Got it after the expected date,Late Delivery
3,c7ecfe71,Mrs. Samantha Watson,+1-199-410-1372x1510,30-04-2025,Your delivery boy was very rude.,Rude Staff
4,92ea1324,Nathaniel Crawford,(625)324-4720x9993,30-04-2025,I�ve been texting for help and no one responds.,No Response
5,e1fdc6d1,Amy Ramirez,(638)380-6578,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
6,809cd839,Devin Johnson,+1-304-078-5932x133,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
7,ead18464,Pamela Gould,001-652-239-5590,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
8,2460d0d2,Chelsea Travis,842.701.0393x0870,30-04-2025,Got it after the expected date,Late Delivery
9,ce7334f2,Mitchell Sellers,002-921-8515x69154,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
10,bb7b6c05,Rebecca Yu,+1-528-953-9264x4220,30-04-2025,The product arrived broken and unusable,Damaged Product
11,c55523ed,Amanda Guzman,+1-391-725-1355x215,30-04-2025,I�ve been texting for help and no one responds.,No Response
12,3fe1e8f3,Hayley Buchanan,001-006-762-6765x8617,30-04-2025,Your delivery boy was very rude.,Rude Staff
13,39bfca38,Benjamin Singleton,054-115-2621x8159,30-04-2025,I was charged more than what was mentioned.,Overcharged
14,07ef2ba8,Matthew Lawson,(201)533-6884x44310,30-04-2025,Got it after the expected date,Late Delivery
15,7daec949,Isaac Patterson,973-103-2417x1467,30-04-2025,I�ve been texting for help and no one responds.,No Response
16,1754bf08,Jasmine Watson,(527)047-7434x9021,30-04-2025,Your delivery boy was very rude.,Rude Staff
17,8a9c66f7,Peter Perez,6868793741,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
18,08e3f771,Stephanie Mcbride,+1-921-722-3320x61632,30-04-2025,Your delivery boy was very rude.,Rude Staff
19,ba236c22,Andrea Hughes,(854)870-9986x1622,30-04-2025,Got it after the expected date,Late Delivery
20,f6ff3521,Tammy Hart,485-646-7997,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
21,24d38751,Melanie Morales,(530)745-0544x4713,30-04-2025,I was charged more than what was mentioned.,Overcharged
22,716fb276,Erica Daniel,+1-137-367-8508x214,30-04-2025,Your delivery boy was very rude.,Rude Staff
23,d9ee7dc9,Laura Thompson,030.705.3457,30-04-2025,The product arrived broken and unusable,Damaged Product
24,1fb621ae,Dana Burns,279.855.2414x060,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
25,f704d72f,Daniel Perez,468.007.2290,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
26,f168c605,Walter Day,(657)437-4896x91085,30-04-2025,I�ve been texting for help and no one responds.,No Response
27,485d831c,Brian Brown,544-432-8309x652,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
28,4bacbedf,Jason Price,9935387584,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
29,8ee9581a,Brent Anderson,825-135-3465x549,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
30,787515b9,Mark Carpenter,+1-173-816-8460x223,30-04-2025,I was charged more than what was mentioned.,Overcharged
31,e4917f7d,Judith Stewart,001-217-525-0074x329,30-04-2025,I was charged more than what was mentioned.,Overcharged
32,c79ddb62,Lucas Schultz,(676)008-3505x8300,30-04-2025,I was charged more than what was mentioned.,Overcharged
33,b18ad67d,Emily Garcia,942.104.4789x85625,30-04-2025,I�ve been texting for help and no one responds.,No Response
34,2a35ce30,Tamara Powell,323.098.2150,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
